mode,scheme_status,design_method,design_options,tap_index,coefficient
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,156,0.000814434373769606
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,157,0.000809134351134557
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,158,0.000802802217824629
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,159,0.000795427507503928
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,160,0.000787000789989267
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,161,0.000777513697842981
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,162,0.000766958952123501
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,163,0.000755330387254973
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,164,0.000742622974977799
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,165,0.000728832847342704
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,166,0.000713957318711666
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,167,0.000697994906729821
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,168,0.000680945352233326
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,169,0.000662809638059002
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,170,0.000643590006722579
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,171,0.000623289976933287
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,172,0.000601914358913586
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,173,0.000579469268493945
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,174,0.000555962139953599
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,175,0.000531401737579491
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,176,0.000505798165916706
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,177,0.000479162878685025
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,178,0.00045150868633746
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,179,0.000422849762237971
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,180,0.000393201647436954
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,181,0.000362581254024405
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,182,0.000331006867042209
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,183,0.000298498144938352
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,184,0.000265076118547425
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,185,0.000230763188583291
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,186,0.000195583121631322
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,187,0.00015956104462923
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,188,0.000122723437827064
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,189,8.50981262186466e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,190,4.67142694383121e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,191,7.60235011849382e-06
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,192,-3.22058392945692e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,193,-7.26772112680926e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,194,-0.000113777399452292
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,195,-0.000155470776489821
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,196,-0.000197720473360985
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,197,-0.000240488400258813
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,198,-0.000283735268986392
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,199,-0.000327420616867036
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,200,-0.000371502832156137
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,201,-0.000415939180941786
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,202,-0.00046068583551947
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,203,-0.000505697904224413
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,204,-0.000550929462703377
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,205,-0.000596333586605969
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,206,-0.000641862385673819
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,207,-0.000687467039204244
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,208,-0.000733097832863261
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,209,-0.000778704196821246
