offset_hz,cic_db,fir_db,total_db
119.0,-0.0001011641587512507,0.005956162349148438,0.00585499819039664
120.0,-0.0001028715413838618,0.006035757065253201,0.005932885523870254
121.0,-0.00010459321176168068,0.006115307227107642,0.00601071401534598
122.0,-0.00010632916988355998,0.006194794723940541,0.0060884655540578165
123.0,-0.00010807941575420894,0.006274201281179591,0.006166121865425377
124.0,-0.00010984394938612196,0.0063535084601683035,0.006243664510781901
125.0,-0.0001116227707658268,0.006432697657894095,0.006321074887128837
126.0,-0.00011341587988570779,0.006511750106675478,0.006398334226789802
127.0,-0.00011522327675654215,0.006590646873904736,0.00647542359714892
128.0,-0.00011704496140074977,0.006669368861730418,0.006552323900328965
129.0,-0.00011888093377621019,0.006747896806776,0.006629015873000124
130.0,-0.00012073119391319901,0.006826211279852315,0.006705480085939676
131.0,-0.00012259574180445304,0.006904292685665655,0.006781696943861004
132.0,-0.0001244745774562804,0.006982121262531163,0.006857646685074462
133.0,-0.00012636770086155884,0.007059677082076107,0.006933309381215174
134.0,-0.0001282751120209515,0.007136940048946487,0.00700866493692602
135.0,-0.0001301968109564074,0.0072138899005188975,0.007083693089563188
136.0,-0.00013213279761569184,0.007290506206621499,0.007158373409005274
137.0,-0.0001340830720652546,0.007366768369213955,0.00723268529714962
138.0,-0.00013604763427807487,0.007442655622124624,0.0073066079878474615
139.0,-0.00013802648422527356,0.007518147030738994,0.007380120546512816
140.0,-0.00014001962194843916,0.007593221491727985,0.007453201869778948
141.0,-0.00014202704742558405,0.007667857732731331,0.007525830685306456
142.0,-0.00014404876068204383,0.007742034312084645,0.007597985551401881
143.0,-0.00014608476168729282,0.007815729618528515,0.007669644856841873
144.0,-0.00014813505046584334,0.00788892187091309,0.007740786820448094
145.0,-0.00015019962701141922,0.007961589117894284,0.007811389490883077
146.0,-0.00015227849132649392,0.008033709237677473,0.007881430746350958
147.0,-0.0001543716433972175,0.00810525993769498,0.007950888294297506
148.0,-0.00015647908324452703,0.008176218754325228,0.008019739671080533
149.0,-0.00015860081086339263,0.008246563052618883,0.008087962241755184
150.0,-0.00016073682624403334,0.008316270025989553,0.008155533199744783
151.0,-0.00016288712939891852,0.008385316695938415,0.008222429566539822
152.0,-0.00016505172033480205,0.008453679911756863,0.008288628191421206
153.0,-0.00016723059901993447,0.008521336350263054,0.008354105751242442
154.0,-0.0001694237655007488,0.00858826251547789,0.008418838749977849
155.0,-0.00017163121974467216,0.008654434738377266,0.008482803518632192
156.0,-0.00017385296175970486,0.008719829176577945,0.008545976214818042
157.0,-0.00017608899156645405,0.008784421814070744,0.008608332822503761
158.0,-0.0001783393091431662,0.008848188460935501,0.008669849151791427
159.0,-0.0001806039144874453,0.008911104753047438,0.00873050083856091
160.0,-0.00018288280762493176,0.008973146151813431,0.008790263344188169
161.0,-0.00018517598853022617,0.00903428794386689,0.008849111955335831
162.0,-0.00018748345721946653,0.009094505240825262,0.008907021783606023
163.0,-0.0001898052136992179,0.009153772978963734,0.008963967765265424
