mode,offset_hz,current_window_response_db,fixed_window_response_db
1K,52114.964831680176,-62.407595607416944,-221.21427214209248
1K,53917.3513054908,-62.70300376495222,-201.71570914072387
1K,55782.072984006525,-62.99840621654258,-216.58314850183052
1K,57711.28571881726,-63.2938033252962,-213.51362702219427
1K,59707.21992124398,-63.58919565423858,-231.01000396309925
1K,61772.183140973044,-63.88458300309811,-224.1767386223955
1K,63908.56273387189,-64.17996621591436,-221.6785637958246
1K,66118.82862207196,-64.47534534903775,-209.33823989670822
1K,68405.53614950733,-64.77072066761187,-232.24365438612182
1K,70771.32903621167,-65.06609260032245,-196.69421724642223
1K,73218.9424347902,-65.36146097710774,-216.59963757295708
1K,75751.20609259796,-65.65682636976422,-216.2603533854953
1K,78371.04762328134,-65.95218885409248,-235.5007823969682
1K,81081.49589146675,-66.24754858076277,-243.19481608900614
1K,83885.68451450662,-66.54290590779775,-218.65172746652303
1K,86786.8554853327,-66.83826078788123,-226.86513335258127
1K,89788.36292060651,-67.13361347980633,-262.7989693773069
1K,92893.67693849746,-67.42896403851014,-243.40779480514078
1K,96106.38767057308,-67.72431268280238,-225.62746437480027
1K,99430.2094124414,-68.01965953307196,-224.40616923827986
1K,100000.0,-68.06929643795351,-322.5590031481644
1K,102868.98491794096,-68.31500461810651,-233.5080826427639
1K,106426.68984184446,-68.61034813415333,-230.33153776665344
1K,110107.43733621431,-68.90569016078301,-301.6159128964038
1K,113915.48280572055,-69.2010307577676,-235.5151107758412
1K,117855.22882742036,-69.49637004401706,-253.1898350597391
1K,121931.23024068947,-69.79170808960653,-250.58697090112727
1K,126148.19941318572,-70.08704496939441,-236.78890565109324
1K,130511.01168893492,-70.38238075936655,-240.9054256052654
1K,135024.7110248401,-70.67771549629865,-237.98645648636727
1K,139694.51582212618,-70.97304927200739,-266.0884149847666
1K,144525.8249594638,-71.26838211655473,-247.46996050364118
1K,149524.2240347503,-71.5637140999259,-249.89078753131542
1K,154695.49182275916,-71.85904524872169,-247.75794292639628
1K,160045.6069561254,-72.15437562237679,-324.7969119908109
1K,165580.75483739536,-72.4497052473487,-254.64018566967812
1K,171307.3347901247,-72.74503416513892,-273.2413183214218
1K,177231.96745729627,-73.04036240880214,-263.3462364510924
1K,183361.5024556139,-73.33569000368338,-271.67105180897886
1K,189703.02629451538,-73.63101697822592,-280.6096500225566
1K,196263.87056906294,-73.92634335099069,-256.81482295306773
1K,203051.62043618676,-74.2216691465297,-271.59608256782303
1K,210074.1233840744,-74.51699438195716,-336.96180900038024
1K,217339.49830484786,-74.81231906947889,-279.43618855458936
1K,224856.14488102126,-75.10764322424899,-260.92355474319436
1K,232632.7532965836,-75.40296685514252,-271.4263579192308
1K,240678.314283938,-75.69828997076469,-255.33233245844625
1K,249002.12951831357,-75.9936125703475,-245.9481105925836
1K,257613.82237166955,-76.28893466858999,-292.777789539537
